Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
0	-16264.140585981833	-15878.07821981027	-386.06236617156344	0.2350483637797865	0.29132735651365926	0.13249212327253496	0.3411321564340194	0.26834804783613947	0.20509152830086405	0.07894077815707082	0.4476196457059256	0.3169226428000179	0.21624032257214787	0.11300304224087959	0.3538339923869546	1.9366043027522455	3.8241606760977747	4.42146153351112	1.147995773794014	0.914154619917459	0.9385543480684979	0.0423850491989241	6.631814960351621	48.779137985367804	-4657.645484248211	-5565.683260440564	-5654.749475121496
7500	-7525.269099876816	-6966.252986187685	-559.0161136891314	0.4634279488927685	0.24096155098196279	0.10860039844239025	0.18701010168287865	0.2730126980950238	0.4322818307867705	0.09025854669058697	0.20444692442761866	0.33500882986565594	0.3582252813324124	0.07410890213509727	0.23265698666683443	9.457076799689913	2.448301980992583	2.394210703781273	0.7178229926094712	1.0612631982202132	1.2195701091351223	0.004074702735483222	27.64557522559618	49.92364142198544	-1835.1924367345578	-2286.2076329274323	-2844.852916525695
15000	-6373.120899957364	-5788.4387543146095	-584.682145642754	0.49440002149029016	0.2234967632289667	0.10550843529468876	0.17659477998605463	0.2883913618256334	0.4380508970717846	0.09857471596892212	0.17498302513365993	0.29384218732228856	0.3849623992353575	0.08513679902614327	0.23605861441621065	10.109627794039042	1.7436047649359887	1.3908827969454185	0.6453382321692742	0.9400191487546671	1.4129537535149597	0.0026676940025968368	35.20309401450308	53.91634832471142	-1495.0272876214842	-1887.2468973449932	-2406.1645693481323
22500	-6211.498955527637	-5622.451435512061	-589.0475200155764	0.5144845254676289	0.23745478966764885	0.09075397566138002	0.15730670920334242	0.3334963013481433	0.4042779444758925	0.07829661561340331	0.18392913856256093	0.3126090694789518	0.36610265274519155	0.0858820428396061	0.23540623493625054	9.183389904796318	2.2497358320881005	3.307190854236417	0.5940032414255355	0.9443071750708187	1.4597562656056717	0.0024722305389899986	33.253235269843984	53.58901579502652	-1445.6300997676237	-1857.670490582469	-2319.150845161968
30000	-6140.817464792229	-5558.302033040627	-582.5154317516013	0.4847019054288072	0.24281481251226067	0.1096941676536482	0.16278911440528407	0.3395215103090685	0.4078637175908626	0.07376524272168722	0.17884952937838164	0.34357004733953217	0.3754010796316026	0.05812759655311963	0.22290127647574554	8.73418017834534	2.351592470636217	4.647338401565007	0.7289951489891638	0.9070637823644168	1.3626505693558915	0.0026043427104489487	28.407262893250742	54.04331478105733	-1444.3274543834466	-1821.1676145808144	-2292.8069640763665
37500	-6121.322071460138	-5544.531230319686	-576.790841140452	0.43711300904270445	0.24732202858938435	0.09545417353237243	0.22011078883553895	0.26865328894767804	0.4627997901835412	0.08792494425431997	0.18062197661446067	0.2996394580008118	0.383828686297878	0.09439152545690428	0.22214033024440577	8.711855968834572	5.641618577006049	1.2091927457396323	0.6194880350319805	0.9361505980817687	1.4425494051483074	0.0024446002633008576	32.739111917955476	54.308928777813755	-1444.6405569989067	-1810.0960124855228	-2289.7946608352563
45000	-6116.912817269411	-5528.941402340578	-587.9714149288329	0.465768181486108	0.2580830521222272	0.0862096895664146	0.1899390768252505	0.3277215512865732	0.4335740143523562	0.07042233183691277	0.16828210252415782	0.3215353862535579	0.39907745670987815	0.07164905714124033	0.2077380998953234	9.668529373873577	3.397140050919374	2.6536947654786798	0.6575949518448753	0.8416934095094412	1.499081138416373	0.0022599565571788183	35.51352148415568	59.30007144187445	-1449.5153707398874	-1795.1137723413794	-2284.312259259311
52500	-6084.98630877483	-5507.02382285595	-577.9624859188798	0.43233492939481094	0.26826855841780806	0.10662202097916863	0.1927744912082127	0.30481850187318194	0.43617077754094213	0.07463728935819557	0.18437343122768035	0.3236390099616995	0.3645320021678333	0.06554262138910885	0.24628636648135813	8.813813692765669	1.0405140740061114	3.2131770585316213	0.6764302367836748	0.9638912677562116	1.3581376870638449	0.0025095480235299054	31.77177880635675	53.77381859031901	-1443.4883576047532	-1785.9048427719713	-2277.630622479226
60000	-6095.51285981766	-5519.756836982486	-575.7560228351741	0.4264150016359358	0.2915437567394155	0.10453787988436343	0.17750336174028555	0.29478816807107305	0.446323349611461	0.08880127572568046	0.17008720659178558	0.27732921022147305	0.43345869816876237	0.08063608492002873	0.20857600668973564	9.469829160500192	1.2056531057323148	3.424651893226608	0.5909491260208941	0.9145059056510028	1.49259710702344	0.0026526714144201246	35.980300709760755	56.50671803753935	-1450.603688287206	-1785.2196675209807	-2283.9334811742992
67500	-6065.799769411673	-5484.481781216091	-581.3179881955817	0.5009771816826822	0.22654829549089722	0.07955219661696424	0.19292232620945657	0.311518656073328	0.4114744505966759	0.09708315522657342	0.17992373810342271	0.3129264612219276	0.38812707512114697	0.09229034018452194	0.20665612347240336	10.051844208772787	5.182914352427442	1.8701031471475178	0.6071366224816027	0.9453624427925156	1.4456301567376981	0.0024465831426294235	37.38052221585076	56.080270831398934	-1446.5439576699791	-1782.2199425629856	-2255.717880983126
75000	-6070.266475931053	-5484.297763373379	-585.9687125576738	0.429986206664553	0.2741295443971435	0.11024298775788312	0.18564126118042068	0.29059482066547293	0.42754350991965356	0.10403914939145258	0.177822520023421	0.33455377923627294	0.37832063886625905	0.08003353614896214	0.20709204574850576	9.732837364406674	2.0644698753274024	3.0095190143504302	0.7265745567910661	0.8983011811475454	1.373822236141345	0.002308726951852584	32.28936790112125	57.81159262385574	-1437.6621850040394	-1789.8545289013234	-2256.781049468016
82500	-6075.64489111075	-5486.076240755057	-589.5686503556924	0.5118222382817488	0.22599473941801668	0.08805819876624224	0.1741248235339926	0.25951199238382583	0.4618044070041121	0.09123272612966236	0.18745087448239972	0.3157206380780544	0.3647126437815	0.07787657552792142	0.24169014261252408	8.936071227421781	5.1697961635867005	2.1362582179052536	0.5671398050659666	0.993250786107172	1.4375481698033652	0.0021010197435870482	38.36246284394881	59.72449730236994	-1445.4443142092123	-1782.081111896422	-2258.5508146494235
90000	-6066.488891162462	-5475.276443759891	-591.2124474025717	0.4819411075454354	0.25958001224122745	0.08691453759405733	0.1715643426192801	0.2924171106416086	0.41872211586295155	0.1106996410291553	0.17816113246628457	0.3325284070224277	0.3690319891381733	0.08270010214122973	0.2157395016981691	12.52203532952068	1.5611131244820906	2.7745152833309445	0.5895526572230411	1.0439598648648456	1.364532966756032	0.00237464138398807	39.27051396959849	52.949031360593544	-1439.904545941942	-1777.2602813943995	-2258.1116164235495
97500	-6075.26005298653	-5474.517646988917	-600.7424059976137	0.5152891381693383	0.22316962799041204	0.0985145308655817	0.1630267029746682	0.2960283669126814	0.387300829199048	0.10015137424237382	0.21651942964589677	0.3058424341854274	0.36813239882132603	0.08270010214122973	0.24332506485201671	12.63635856813105	4.137683855062449	2.6822527900270647	0.5726363724963527	0.9137168746418527	1.5116116879689192	0.002352995990120911	33.561715332386555	55.01615392945072	-1444.2090257447746	-1774.98892392098	-2255.319697323162
105000	-6068.261285823111	-5467.777415584318	-600.4838702387929	0.464562535756793	0.2528604045599789	0.09886482734028951	0.18371223234293885	0.2875449721384003	0.4287814860534047	0.1078675525352419	0.17580598927295307	0.32954136025088415	0.38224308906009785	0.07650928544664201	0.21170626524237585	9.876060900783425	1.873401993283933	1.934103125531197	0.6769997489043198	1.0169580265326394	1.3045041281292509	0.0022363936181318306	42.325279302594346	54.504711091151826	-1429.9176262520332	-1784.511643077681	-2253.348146254604
112500	-6077.988168741351	-5472.108487871215	-605.8796808701354	0.4490236350594705	0.3014176182767819	0.08712797317326619	0.16243077349048163	0.28230582495171447	0.4314940928814792	0.10629938685038148	0.17990069531642477	0.3075981672389314	0.3791994391840738	0.07797585858261309	0.23522653499438154	11.573852001244491	1.9333409453388395	2.477586249425236	0.6295653947468002	0.9439465218265594	1.4247241091159102	0.0022243331223604124	38.757881700775094	54.37020183506977	-1434.352307262853	-1786.9056174501932	-2250.8505631581693
120000	-6080.995289545602	-5478.637034505205	-602.3582550403968	0.46034743714020165	0.25700814026204793	0.08419199157829466	0.19845243101945592	0.33469273366329844	0.42904280920669813	0.06345171005360307	0.1728127470764003	0.3359371080721543	0.37707855075169605	0.07797585858261309	0.20900848259353635	10.385835515095591	2.7222760604299063	2.546499387625935	0.6588278353907449	0.9859810995186645	1.3535664357353077	0.0021366105291557662	40.35104020413843	54.359874296016564	-1429.8724085590952	-1784.948873475572	-2263.8157524705375
127500	-6078.48473809319	-5482.445827970303	-596.0389101228866	0.47960953599075	0.24200691701625562	0.08035961888660116	0.19802392810639338	0.2891608823311108	0.4547628645518509	0.0932353591642296	0.16284089395280857	0.3248353579535058	0.36651234070256705	0.09699456842860829	0.21165773291531867	10.493618799787464	8.903799487774952	1.1431400674571988	0.7335415769707122	0.9725292500562965	1.292660323339518	0.002141421972802549	31.660747114100126	54.30526637683839	-1443.8577282654533	-1782.6635450258782	-2255.924554678972
135000	-6061.937220818277	-5468.68515726523	-593.2520635530467	0.5005454188618987	0.24638384018240994	0.08352553287159982	0.16954520808409168	0.3314459861258983	0.41369798790924767	0.08002612564999738	0.17482990031485648	0.38659663169952857	0.3430396800836707	0.07102454295219837	0.1993391452646022	9.862494685945764	2.1981041454816723	1.760761669543095	0.7346450798731331	0.8925390922029408	1.3715522330661782	0.002239791045281555	35.58318693897045	54.20650491563814	-1430.956873469662	-1783.7752627805585	-2253.95302101501
142500	-6071.9306904962705	-5486.929535080513	-585.0011554157574	0.47668689812474807	0.24094855324853276	0.09787957662207586	0.18448497200464342	0.33152329988012474	0.4273377512169973	0.08046513566087897	0.1606738132419988	0.35808264123034983	0.3226154939181189	0.08662112938620395	0.2326807354653272	10.608273359656465	3.5831190679806473	3.7865203318351752	0.7144602050431582	0.8656833925485331	1.4184966890989894	0.0024099397649361295	35.250099559290746	55.32348526907171	-1435.3721874364933	-1787.7357386027495	-2263.82160904127
150000	-6066.690272949159	-5481.295436554668	-585.3948363944909	0.45531450278070007	0.2681575925494162	0.12240747372894173	0.15412043094094208	0.3555638857469767	0.37278069883316434	0.08873154778932676	0.1829238676305321	0.33536289164111804	0.3548371045568014	0.09805949411393752	0.2117405096881429	9.881944671714194	2.3798877446875815	2.218521638023408	0.692916985399844	0.9177739014516435	1.3878468130789867	0.0023528728507125163	34.89743459944588	58.53816775736398	-1433.8980441656518	-1794.7559808129902	-2252.6414115760267
157500	-6059.525099464844	-5483.083498154914	-576.44160130993	0.5155062927732098	0.20742228932518958	0.11474094794291946	0.1623304699586812	0.30195780757004526	0.417383291404418	0.08762529050214359	0.19303361052339307	0.307965221732759	0.3633657645634417	0.08055510104754753	0.24811391265625177	7.931196158622952	7.242566966245686	1.5079313486142114	0.576155564506282	0.95794850235355	1.4638776263044824	0.0026286989201314984	33.851146023931165	53.456149888261045	-1443.2511452916067	-1778.377460743805	-2261.4548921195033
165000	-6069.564569811863	-5487.594629931311	-581.9699398805525	0.4715694441669792	0.2574956142688169	0.1018307463727539	0.16910419519144995	0.34362448262735557	0.3639312111822977	0.10562310951405095	0.18682119667629574	0.34130687147396915	0.34987875476024843	0.07775040960390775	0.23106396416187455	10.806328706847923	2.341307277797944	0.848465876917914	0.6046894140041574	0.9047281224434685	1.4887000321904882	0.002500446851252388	33.83555158398342	53.40119030550663	-1443.463726751042	-1775.2064734474461	-2268.9244297328223
172500	-6051.420465731211	-5474.4426088355685	-576.9778568956428	0.44695112043919233	0.23864638628610935	0.11492945191097485	0.1994730413637234	0.29364731086003176	0.453413495957765	0.09574754717334376	0.1571916460088596	0.3202884823738475	0.3993813084831407	0.08408698144535943	0.19624322769765215	11.489794378390906	2.030757601366083	2.835432939272599	0.6363467196091743	0.9970130805790723	1.3649085175241766	0.002321189812701595	30.663059968519867	51.636065618325965	-1442.14948136433	-1776.7225384531855	-2255.5705890180534
180000	-6057.523925875522	-5475.758451444544	-581.7654744309775	0.464642752170838	0.24737680880930565	0.0937615026613959	0.19421893635846035	0.2819579459139386	0.4619452065481889	0.09535864605642125	0.1607382014814514	0.3419209809107109	0.3773755562317796	0.05859651262222577	0.22210695023528354	11.46033992994685	8.161293647455967	3.0350676899896922	0.7101151410356575	0.8790732026016856	1.4094312522723493	0.0023545409758368597	33.66734922952306	53.81489185367089	-1439.9789409413333	-1780.1304010886508	-2255.649109414561
187500	-6061.574805085986	-5486.290496964167	-575.2843081218185	0.5005384191602996	0.2065831108276723	0.1083513742744733	0.18452709573755466	0.30341916585901957	0.4128748006474367	0.088244653602311	0.19546137989123294	0.3218164116500942	0.3774382557929687	0.08236608212382975	0.21837925043310713	8.972446604844531	2.2088643599133935	3.041254928621065	0.7694829161941693	0.9285186976473226	1.3009006857594312	0.0024288277257754017	32.87913243191016	55.46903775405039	-1440.720539315377	-1774.201353742894	-2271.3686039058957
195000	-6059.112883400891	-5483.609277610798	-575.5036057900932	0.4923213968571543	0.2220282853193437	0.09444177552683022	0.1912085422966717	0.33151454970623995	0.39778400445976947	0.08775218841269089	0.18294925742129994	0.36227185499160036	0.3263104936858338	0.08236608212382975	0.22905156919873576	9.117323136905894	3.2050726450572133	3.2331501762708035	0.6464170229728935	1.0369414015680696	1.3149578469970016	0.0024544297473443107	33.07753730259514	53.31713693185993	-1431.8653775345515	-1780.3710090230857	-2271.3728910531613
202500	-6047.401997948023	-5484.241830779642	-563.16016716838	0.4756748373498952	0.2825633170733741	0.0935762769104067	0.14818556866632387	0.3479308834895673	0.3727725506957413	0.09826107782093062	0.18103548799376104	0.34072528678772734	0.3715892096606095	0.0890085612699115	0.1986769422817514	9.734406364741403	2.4305684464206787	2.717176185883902	0.5641354771252931	0.9735787568255447	1.4602102207021384	0.002398492178265517	28.389390353593043	55.54122702335639	-1439.935415043233	-1782.5703832705638	-2261.7360324658457
210000	-6052.413703735635	-5475.229442319707	-577.1842614159274	0.5135522585197129	0.24042971804362326	0.0989362489321484	0.1470817745045153	0.3086627471349355	0.4400377816878645	0.09578371177283661	0.15551575940436368	0.34306223937806857	0.37435219388374397	0.07957123510570581	0.20301433163248134	10.992684229090628	3.0912051149043185	2.672027042626063	0.7554534242802711	0.9703294341611546	1.2730526340551458	0.0023087105973140366	37.73872470021511	56.07809959542374	-1438.1656782365492	-1788.2823437549505	-2248.781420328208
217500	-6072.165733656364	-5482.1408722665465	-590.0248613898176	0.4202611655579488	0.26129634205378005	0.09350886115759091	0.22493363123068003	0.3135258792983831	0.4010916616503253	0.09788586101733818	0.1874965980339537	0.31451731289600254	0.35643190902946237	0.08987014867590956	0.23918062939862522	11.601362649908847	3.6941624679455543	3.337823477976839	0.6948892689790378	0.9499147471189455	1.3537430756590585	0.0024233189122217624	39.22954039711089	51.87807844769713	-1442.9551399070317	-1783.5719513715858	-2255.613780987929
225000	-6061.765835505943	-5481.69984829278	-580.0659872131623	0.5071552647199622	0.2600635949553484	0.07685418327460641	0.15592695705008272	0.3115110533071232	0.4109241250277565	0.09758687517483126	0.17997794649028925	0.3485634089676784	0.40605302557853845	0.06616004770755286	0.17922351774622997	10.85142907396668	5.1556470312186615	6.01154070593699	0.5994441893999115	1.0127725234010778	1.3858758785771044	0.0024189095052142514	36.475174297137116	56.11128786060123	-1434.9751702634694	-1793.332054808865	-2253.392623220446
232500	-6063.278036497147	-5486.000156657361	-577.2778798397854	0.4948292364053415	0.2565095761803111	0.08623029350080721	0.16243089391354	0.3038682109739649	0.43097090532062354	0.08164149646127948	0.18351938724413233	0.3012332947061088	0.37013710177188613	0.08729898816932607	0.24133061535267866	9.508599147485798	5.18436009963807	2.4575349364850956	0.6915372883196887	0.8688704189921305	1.438123422632559	0.0024935005799100007	32.870926448050014	52.79746725254626	-1442.4191836465222	-1788.5003008558838	-2255.0806721549548
240000	-6064.024911803504	-5488.055690074469	-575.9692217290362	0.4925628323175475	0.23872778360876407	0.09701139922934801	0.17169798484434026	0.3156605104263114	0.41198475100026977	0.09768717653799414	0.17466756203542494	0.3074117601175116	0.3987538823506425	0.0824705385358446	0.211363818996001	11.193522070237984	2.6689302103016765	4.392544095950922	0.7247267098389348	0.914701360162135	1.359261104807686	0.00227549206948841	33.30268820057792	54.8430939805598	-1436.0815680124779	-1786.571757817908	-2265.4023642440825
247500	-6071.12719792566	-5491.721189600924	-579.4060083247358	0.48777560307744455	0.23828553232401495	0.09739162821062403	0.17654723638791617	0.3133459658671375	0.4034333221614665	0.10100745597138834	0.18221325600000793	0.3304091472243799	0.3865257192407527	0.06842943711352184	0.21463569642134536	10.5543738677473	2.6321377788958573	2.219242910551966	0.6282228674544551	0.8878173295244867	1.4821894357232208	0.0022790435669263896	30.945825063382674	53.22057906132463	-1443.0295824557954	-1784.1554500434252	-2264.5361571017033
255000	-6069.489385461478	-5487.65262206861	-581.836763392868	0.44883050470702657	0.25109931740908137	0.09739162821062403	0.20267854967326776	0.3099861891036605	0.42867940148857886	0.07956874490545093	0.18176566450231002	0.2847287634858179	0.4174020374148061	0.08598602554179006	0.21188317355758576	10.466483554016735	3.722643218053973	3.8343816376298285	0.6888888149515019	0.8985617021880951	1.4110680010268373	0.002400181944149483	38.66041788692893	59.099342960673106	-1433.8873977760516	-1789.8732058784894	-2263.892018414069
262500	-6061.236886584804	-5484.434533922604	-576.8023526621997	0.44038925327820955	0.2703596967039573	0.11853525449121796	0.17071579552661487	0.2901005426416098	0.40952031615281664	0.09843484111400612	0.2019443000915678	0.3194064811597953	0.3980653580982394	0.06762778246744904	0.21490037827451605	9.4189953072223	1.8260291850222277	1.2990211374202876	0.6936773490899358	0.8765021083396439	1.4283618632803707	0.0024384851787781748	35.66263511084407	54.91124145875868	-1435.5831430166193	-1788.5442518058712	-2260.307139100113
270000	-6083.757815044561	-5487.902542985041	-595.8552720595196	0.4882059362722235	0.24733319004727533	0.09987945632235024	0.16458141735815068	0.3702694644673269	0.38171892637339483	0.08689743439560467	0.161114174763674	0.3090407232076275	0.38713439994191307	0.08631085435121302	0.21751402249924617	11.980521840577667	5.243170453652949	1.6851329323266628	0.6398558760667714	0.8881293186312178	1.4702998332832793	0.0022680272021754844	36.83194002198819	55.65809797886362	-1434.9107779620556	-1799.6211391568486	-2253.3706258661373
277500	-6078.651672609379	-5491.4494522263285	-587.2022203830503	0.47465051540679976	0.24952142737106742	0.10434585089983305	0.17148220632229946	0.3252872280584977	0.41138933014198603	0.09289339272914898	0.17043004907036763	0.319095740132816	0.3998443528290078	0.07027038761826716	0.21078951941990876	10.325911806581482	1.8207792929560864	3.6015110284726255	0.7850154814010188	0.8855598411022669	1.32840094169386	0.0023244494561757215	35.32428515202293	54.73447150341797	-1443.9852715661348	-1782.1442906764737	-2265.3198899837203
285000	-6076.688013899636	-5488.649131554286	-588.0388823453494	0.47888869586217636	0.2618441583102378	0.08224957145017742	0.17701757437740812	0.32055677592386433	0.42870543685004897	0.09078669648997098	0.15995109073611607	0.3092914119578767	0.3748190038519724	0.08930287861399878	0.22658670557615193	10.009062273797834	5.430414470177433	4.303575945351915	0.65192177966581	0.9371261323895138	1.4092945726097492	0.0022568702002001275	39.88129287473667	56.24365205385368	-1434.2154218342257	-1791.4837873489164	-2262.949922371144
292500	-6065.391420273772	-5480.1413930898125	-585.2500271839598	0.4627388593602382	0.2426729136609102	0.11245698201698535	0.18213124496186586	0.32558748821149114	0.37504366143420675	0.10615200437390407	0.19321684598039843	0.36932618118697813	0.33760463282085507	0.07850025438931367	0.2145689316028529	11.217847955982883	1.4043298867405751	4.412561877033305	0.6184399336087348	0.9580529558395364	1.4216901578546253	0.0023907844927352853	32.60304046727455	53.41075736770916	-1434.7185678154776	-1781.790660649066	-2263.6321646252686
300000	-6063.844466299469	-5472.938722636387	-590.9057436630817	0.47561426062889844	0.27539352080766744	0.08510252978100445	0.16388968878242924	0.30635547228388516	0.4300204615248023	0.1150578726352195	0.14856619355609335	0.29039256496780474	0.3936707815469015	0.09681894190430525	0.2191177115809882	9.360471668671034	3.0319049899267783	3.1603017728001035	0.605428829730937	0.9085990416444022	1.4840932182900441	0.00222633295734104	37.66171005620846	55.7673688417992	-1444.9105351331468	-1778.371138456868	-2249.6570490463723
307500	-6070.607726058995	-5486.673094114389	-583.934631944606	0.49065753613166474	0.22715749673040003	0.08388578408534546	0.1982991830525894	0.27123994735412604	0.48151570180504505	0.07860136048727405	0.16864299035355523	0.3221472388316418	0.3623079619714713	0.08170551012786119	0.2338392890690254	10.610078839926038	6.080578445227124	7.67309840644525	0.5974338961921367	0.9383637680742298	1.4622853542869272	0.002570422444536348	28.14379861857088	56.585336573388275	-1443.1211362252754	-1783.7819980672518	-2259.7699598218614
315000	-6064.481208373639	-5484.070883438382	-580.4103249352565	0.48254261497485074	0.2600171806532649	0.0816416834753711	0.17579852089651296	0.2744795999343951	0.4648050592819611	0.0817430963349322	0.1789722444487119	0.3052744118947028	0.38924968159793594	0.09070310209410869	0.21477280441325236	11.214393746521557	1.9350643530905738	2.0602735999463957	0.6908536165226113	0.96685995022177	1.3408143076200099	0.002588833600145555	32.65919958524067	54.72780902560865	-1439.7611616141407	-1778.6107464664994	-2265.698975357742
322500	-6053.89238787564	-5469.024887469615	-584.867500406025	0.488689692349798	0.24143307904538658	0.10466917846167272	0.16520805014314233	0.3105328011073544	0.39528003228301806	0.10812847097501331	0.18605869563461452	0.3092547707313531	0.3332153627875048	0.09955984767673791	0.25797001880440396	8.592013762534464	2.593468630842117	2.74833210407847	0.6964445569066201	0.942748208598108	1.359361732385301	0.002389277622157475	38.349904659425725	57.83892132353051	-1428.538128599913	-1778.097935269818	-2262.388823599884
