Sample	posterior	likelihood	prior	speciescoalescent	birthRate.t:Species	YuleModel.t:Species	TreeHeight.Species	TreeHeight.t:tree_0_1	TreeHeight.t:tree_0_0	treeLikelihood.tree_0_1	treeLikelihood.tree_0_0	treePrior.t:tree_0_1	treePrior.t:tree_0_0	kappa.s:tree_0_0	freqParameter.s:tree_0_01	freqParameter.s:tree_0_02	freqParameter.s:tree_0_03	freqParameter.s:tree_0_04
0	-1983.91817906218	-814.340688193778	-1118.69129467928	-50.88619618912	213.2021	-1111.46369410316	1.51768548681569	2.69822869675943	4.65150297242615	-404.956052036053	-409.384636157725	-21.4240129800436	-20.4621832090763	2	0.25	0.25	0.25	0.25
25000	-770.623507088931	-765.636444275034	16.3044115665464	-21.2914743804433	2036.30918150878	24.0487891570036	0.00137795379807249	2.3869988398254	0.974192531368653	-372.435297086304	-393.20114718873	-12.3654453903468	-11.7990008682904	1.51365632574918	0.247270652461835	0.255900436430698	0.245315710522422	0.251513200585044
50000	-783.048550998016	-767.1909962472	16.7146640216902	-32.572218772507	2875.09320322217	26.2149892720082	0.000514483895475016	2.55620277312406	0.731875876706931	-378.693355942512	-388.497640304688	-13.9264763197797	-12.863240891104	2.60174924908289	0.247574088629318	0.255597000263215	0.245315710522422	0.251513200585044
75000	-769.480711101492	-762.986215862353	14.6534443340333	-21.1479395731719	500.968247390318	21.1273015721119	0.00266113165719876	1.97761591964406	1.77858404181874	-372.595280663558	-390.390935198795	-10.1784221464046	-14.3021835242308	2.60174924908289	0.252567611097279	0.259813541874201	0.249533558878959	0.238085288149561
100000	-786.96696774504	-761.248535005494	12.1310656224569	-37.8494983620028	319.053088382942	19.5441657369096	0.00308807728436392	3.54208177134316	1.01460246467636	-376.48526351529	-384.763271490204	-15.1003038466343	-18.3901836825816	4.0357994107517	0.252567611097279	0.259813541874201	0.238720389478822	0.248898457549698
125000	-788.748368620517	-763.766157287212	3.87580018958453	-28.858011522889	21.447043115234	7.71321603782517	0.0615153838838631	1.48968140268995	0.986764057317979	-375.431819081379	-388.334338205833	-12.3737638543379	-13.417519193709	3.04917416161341	0.246448167808227	0.254282761548762	0.245807265901461	0.25346180474155
150000	-789.685700897698	-761.279070685572	-0.19429342718655	-28.2123367849394	7.20352184509908	3.81620672716307	0.201607777379795	2.69813290341777	1.04903921621789	-374.070750000206	-387.208320685365	-7.65139248017609	-8.6239503064462	3.04917416161341	0.246448167808227	0.245814784543392	0.251567320977727	0.256169726670654
175000	-796.876114011845	-763.948882441746	-1.62644755855415	-31.3007840115447	4.65628381600702	1.58370422268925	0.254375057000846	3.04818369251283	1.16606542623503	-377.192126455337	-386.756755986409	-12.5225090577717	-8.10759517199348	3.04917416161341	0.246448167808227	0.245814784543392	0.251567320977727	0.256169726670654
200000	-797.603500723366	-766.491254731854	-4.61962528845185	-26.4926207030591	1.62910580185741	-2.33433278511924	0.640112624587496	1.83231166976073	2.04597879691124	-374.712064609851	-391.779190122004	-9.88748374196819	-6.23021309338517	3.04917416161341	0.246448167808227	0.245814784543392	0.247036679823034	0.260700367825347
225000	-791.230911715892	-760.976774355718	-3.34496567625024	-26.9091716839234	2.05696068337332	-0.916585071601032	0.559822236896968	1.46872414276272	0.913708981553596	-375.127132746618	-385.8496416091	-6.35775183189053	-9.59556247724722	3.0447933132274	0.240873326076231	0.261899562757477	0.230951901608949	0.266275209557343
250000	-769.313537880942	-759.501413187383	-4.29083365378714	-5.52129103977233	1.10018657317422	-2.8305563047805	0.748245614186153	1.01598130900265	1.15331108268481	-378.669983418937	-380.831429768445	-3.88941902970543	1.44864994092161	3.0447933132274	0.240873326076231	0.261899562757477	0.230951901608949	0.266275209557343
275000	-771.313750439309	-763.968758062703	-3.15583600605335	-4.18915637055197	2.57414207269219	-1.17656652378406	0.594350079792813	0.970694980051846	0.757056542870542	-375.321513577821	-388.647244484882	-2.85054281098421	3.21978221424297	2.70900174966182	0.240159401434131	0.250642271138694	0.242923117869831	0.266275209557343
300000	-781.31603087854	-758.205473030352	-4.0414935864194	-19.0690642617683	1.00512534490443	-2.75292717841501	0.795481007073657	1.40325685946753	0.982280054659075	-375.800373155325	-382.405099875027	-6.88446775767636	-3.62943541869285	3.0398898249948	0.240159401434131	0.250642271138694	0.242923117869831	0.266275209557343
325000	-777.71796306837	-762.195321694852	-4.14734527983277	-11.3752960936847	1.96648537123795	-2.32281453931579	0.87759352231849	1.82612883067021	1.14040980312173	-375.83962829471	-386.355693400142	-5.70639308090115	-1.49335079972066	3.0398898249948	0.240159401434131	0.250642271138694	0.242923117869831	0.266275209557343
350000	-786.250878274596	-768.037019707466	-1.44557411637246	-16.7682844507577	2.85164860265222	0.830437790285225	0.458810014001107	1.27199227029167	0.959121540338422	-378.368433999027	-389.668585708439	-5.16733860891305	-4.97315569943317	3.0398898249948	0.240159401434131	0.278011937319467	0.242923117869831	0.238905543376571
375000	-793.369200169684	-758.142643725605	-2.2067655902871	-33.0197908537917	6.48421154370491	1.6960844856443	0.292349933920224	2.50850693471586	1.43032511039443	-371.829796242043	-386.312847483562	-9.90078390768636	-11.8692735065929	2.35406786934019	0.228771919169805	0.278011937319467	0.254915211465948	0.23830093204478
400000	-806.737450644656	-760.385182297753	-5.11457436148656	-41.2376939854162	3.46364968066014	-0.818818362693054	0.425094473962899	1.98746580842511	1.41879654555753	-375.47490696757	-384.910275330184	-12.7568840026365	-13.3829243149234	4.93556800694376	0.218090374737702	0.268218091689387	0.235689796163536	0.278001737409375
425000	-789.67104619771	-758.58793140917	-1.20515433646963	-29.8779604520708	2.81016527212693	1.23293266015272	0.276922668944346	1.46608114485086	0.892277028932412	-375.527846905117	-383.060084504052	-6.10134105294504	-16.519571953829	1.97148828060442	0.230928926660888	0.27338419165306	0.230523696199863	0.265163185486189
450000	-786.671680184364	-758.390374651822	-3.12938348324041	-25.1519220493014	1.5232301371051	-1.09049728208845	0.539535408396662	1.32699216724124	0.865174189188386	-375.215817798977	-383.174556852845	-11.4296636406568	-4.99756401624422	3.61297002599429	0.230928926660888	0.27338419165306	0.230523696199863	0.265163185486189
475000	-790.740257122156	-759.752820420328	-3.90900476907818	-27.0784319327493	1.84521023663994	-1.36749817146385	0.80858850098803	2.02466693478823	1.32918964708016	-378.047931115167	-381.704889305161	-11.3297885482791	-6.73898690159962	3.61297002599429	0.198463898050936	0.305849220263012	0.230523696199863	0.265163185486189
500000	-778.755042889438	-760.387957308484	-2.46644238604597	-15.9006431949073	1.30763116970286	-1.78635056645009	0.591063288796727	1.76546619979569	0.769301806171511	-372.174238619645	-388.213718688839	-10.6956927363007	-0.354267287697555	1.75446741389404	0.222622677128303	0.246018698101857	0.290354218361018	0.241004406408822
525000	-786.793201764563	-761.092581918155	-4.10334597538485	-21.5972738710229	3.74183690950437	-0.985717151328859	0.614629370514723	1.31679042717785	0.820371823698849	-369.957485566157	-391.135096351998	-9.40126959567377	-1.59825055606467	2.59136079466358	0.247320276541684	0.246018698101857	0.290354218361018	0.216306806995441
550000	-792.990651328906	-761.190030472934	-2.92486416900914	-28.8757566869634	1.82306917653129	-0.527496235660155	0.557136047512527	2.32922137188824	1.07473450988675	-376.957474335896	-384.232556137038	-10.2393965100405	-6.25900823997506	2.59136079466358	0.209653074395259	0.28797689809241	0.253047806378039	0.249322221134292
575000	-781.674476305695	-759.919152689903	-2.95246021806332	-18.8028633977283	1.09898787372042	-2.04104431866008	0.757226267352497	1.56151840862608	1.03794125420852	-372.873429917489	-387.045722772414	-9.21787039457829	-6.50960974877035	2.59136079466358	0.209653074395259	0.28797689809241	0.253047806378039	0.249322221134292
600000	-785.300508084358	-764.285881104577	-5.15763807912191	-15.8569889006585	0.537365565694199	-3.91671763357045	0.88493245820781	1.22980105452668	1.35354574108593	-378.969262106747	-385.316618997831	-4.71653594867042	-3.67472308746663	3.24704168731112	0.209653074395259	0.28797689809241	0.260524565263884	0.241845462248447
